porosity,k_pnm,q_pnm,k_edm,q_edm,radius_pore_avg,radius_pore_std,radius_throat_avg,radius_throat_std,length_throat_avg,length_throat_std,connection_n_avg,connection_n_std
0.2313256063603281,1.4849847750907238e-10,0.00024367852459817167,1.0615359888815314e-10,0.00017419271087322055,0.0005060096195154005,0.00017504419129949966,0.000371505111197909,0.0001644096457949443,0.0011160568862491828,0.0006695504112119576,3.3009118541033438,1.7145982598959453
0.21515600336417454,2.151648630892172e-12,1.737924961579875e-06,1.973994313504316e-12,1.5944304019719874e-06,0.0001292838964132913,3.405630997171372e-05,5.485266627877135e-05,1.78736177058274e-05,0.0013515759734837895,0.0008445308343635506,4.208747514910537,3.9082625201374235
0.28336210842328025,2.48695662492858e-10,0.000347155280804093,2.1338731267240085e-10,0.00029786821253042773,0.0004101861359363663,0.00014445603738901254,0.00029367928386631807,0.00013402556634558842,0.0008782474324709824,0.000490037424725975,3.7759674134419554,1.8592841928366983
0.3359458529706335,9.188253275718544e-11,4.14610178481334e-05,5.558254969750523e-11,2.5081035708311036e-05,0.0001617461149389943,5.5525516166798025e-05,0.00012775188963265238,5.986998623329301e-05,0.0003219478872338293,0.00020429489819602856,4.245222929936306,1.9808942798025524
0.27318834018006594,6.369346000829501e-11,9.932415017457168e-05,5.424346169932261e-11,8.45877384445827e-05,0.00030000422621361087,8.901841417715661e-05,0.00015396978959256416,5.8045545295213576e-05,0.001645929044610327,0.0010355997490143073,4.399515738498789,3.302753969774506
0.16806992331658582,2.9922024051967937e-13,1.4382154627498445e-07,1.581734753686636e-13,7.602678805317386e-08,9.379308169354574e-05,2.6922999844415555e-05,4.907030047848524e-05,2.0503060751604888e-05,0.00036669642521055965,0.0002113286953334386,2.832786885245901,1.586285620352211
0.3393680947003899,1.1171792131805891e-12,2.0765694312184844e-07,1.1514430195324267e-12,2.140257666756675e-07,3.422483750521551e-05,1.026199256917126e-05,1.7800321199922703e-05,6.429694126514769e-06,0.00027241783142075115,0.00016760354665229963,5.817771084337349,5.251068494424709
0.29736685831360765,1.5031212102869962e-10,0.0002286129016619222,9.456400899671878e-11,0.0001438244124397413,0.00038622224542237744,0.0001234608219533517,0.0002593234236633065,0.00011299890061228088,0.000951674893434064,0.0005326357542791536,3.871584699453552,2.041886838272959
0.2030753268008722,7.137453406055335e-12,1.0343286932420404e-05,4.8699652592754785e-12,7.057341766304327e-06,0.0002551495670350564,6.853164124135197e-05,0.0001213333086259438,4.428221065676656e-05,0.0015518213553890828,0.0009236712959984258,3.5297372060857537,2.369735017392121
0.22827571793323226,2.327396744420218e-12,7.135352532968865e-07,1.266000036358728e-12,3.881313569690175e-07,8.549640650358605e-05,2.8145426556325244e-05,5.7703449008506895e-05,2.7817740124477874e-05,0.00018937883524969265,9.807139797411944e-05,3.396514161220044,1.63954030877298
0.2197925658356952,2.5940658724701906e-11,3.0698137116246325e-05,1.3732544155860713e-11,1.6251072415909282e-05,0.00027443902639162843,8.429819516672773e-05,0.00016932308772123536,7.169820187650746e-05,0.0007778595265010209,0.00045642019294027744,3.304985337243402,1.813343766532088
